[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000810s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000898s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000546s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000614s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php 第 22 行.
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [8] Undefined variable: id IndexAction.class.php 第 25 行.
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.000990s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SELECT * FROM `think_user` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000321s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | SQL: SELECT * FROM `think_user`  [ RunTime:0.000263s ]
[ 2012-12-06T20:20:45+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [4096] Object of class Model could not be converted to string IndexAction.class.php 第 29 行.
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --START--
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run CheckRoute Behavior [ RunTime:0.000865s ]
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000964s ]
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000609s ]
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000679s ]
[ 2012-12-06T20:22:55+08:00 ] /Thinkphp/Index/read/id/5 | NOTIC: [2] Missing argument 1 for IndexAction::read() IndexAction.class.php 第 22 行.
